premise,premise_en,hypothesis,hypothesis_en,ground_truth,label_en,predicted_label,correct,language,runtime_seconds,samples_processed,runtime_per_sample,temperature,max_new_tokens,do_sample,translation_temperature,premise_translation_quality,hypothesis_translation_quality,avg_translation_quality
"The mayor of Letohrad, the town where Josef Korbel grew up, says he sent Albright three letters in recent years.","The mayor of Letohrad, the town where Josef Korbel grew up, says he sent Albright three letters in recent years.",Korbel led Letohrad.,Korbel led Letohrad.,entailment,neutral,neutral,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"In an economy with reinvestment, what happens if we can take our advantages of trade and reinvest any excess so that we can create more apples and pears than we had to start with?","In an economy with reinvestment, what happens if we can take our advantages of trade and reinvest any excess so that we can create more apples and pears than we had to start with?",We can't trade with anyone around us.,We can't trade with anyone around us.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
We can continue to strengthen the education of good lawyers.,We can continue to strengthen the education of good lawyers.,"We can educate lawyers, I'm sure of it!","We can educate lawyers, I'm sure of it!",entailment,neutral,neutral,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"The ultimate recipient in Pakistan would then go to the Pakistani hawaladar and receive his money, in rupees, from whatever money the Pakistani hawaladar has on hand.","The ultimate recipient in Pakistan would then go to the Pakistani hawaladar and receive his money, in rupees, from whatever money the Pakistani hawaladar has on hand.",The ultimate recipient would need to travel to Turkey to get his money.,The ultimate recipient would need to travel to Turkey to get his money.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
The real cause for concern is that HMOs may fail to control costs in the long term.,The real cause for concern is that HMOs may fail to control costs in the long term.,Everyone appreciates that HMOs will be able to control costs in the long term.,Everyone appreciates that HMOs will be able to control costs in the long term.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
and it still scared me,and it still scared me,I was just a little bit scared.,I was just a little bit scared.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
oh oh my word well that sounds adventuresome,oh oh my word well that sounds adventuresome,That sounds like an awful experience.,That sounds like an awful experience.,contradiction,neutral,neutral,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Based on this risk assessment, Centrelink developed a range of specific prevention strategies aimed at educating beneficiaries and employers on income reporting requirements.","Based on this risk assessment, Centrelink developed a range of specific prevention strategies aimed at educating beneficiaries and employers on income reporting requirements.",Centrelink had a lot of strategies to teach people how to report income because the government was losing a lot of money in mistakes.,Centrelink had a lot of strategies to teach people how to report income because the government was losing a lot of money in mistakes.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"This is extremely important to the long-term survival of elephants in human care, as well as the wild.","This is extremely important to the long-term survival of elephants in human care, as well as the wild.",There is nothing that can be done to help elephants.,There is nothing that can be done to help elephants.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
We assume a direct linear relationship between volume per capita and pieces per possible,We assume a direct linear relationship between volume per capita and pieces per possible,We know there's no connection between volume per capita and pieces per possible.,We know there's no connection between volume per capita and pieces per possible.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"At the moment, the thinking is that it's perhaps best to leave these smaller, less developed islands in peace.","At the moment, the thinking is that it's perhaps best to leave these smaller, less developed islands in peace.",People think the islands should be left alone.,People think the islands should be left alone.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"One thing M. Tesniares hasn't reckoned with, though, is the Anglo-Saxon input.","One thing M. Tesniares hasn't reckoned with, though, is the Anglo-Saxon input.",M. Tesniares performs Anglo-Saxon input.,M. Tesniares performs Anglo-Saxon input.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
My name is Wade--Lord Julian Wade.,My name is Wade--Lord Julian Wade.,"His name was not Wade but instead, Smith.","His name was not Wade but instead, Smith.",contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"It would be extremely difficult for a legal services attorney in California to know whether a client, who has been working in the migrant stream in Arizona, has temporarily crossed the border into Mexico.","It would be extremely difficult for a legal services attorney in California to know whether a client, who has been working in the migrant stream in Arizona, has temporarily crossed the border into Mexico.",The attorney can get the information through the migrant worker network.,The attorney can get the information through the migrant worker network.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Likewise, the statistics in Tables A2 and A3 show that routes with high carrier route volume reside in ZIP Codes with higher levels of household income and education attainment.","Likewise, the statistics in Tables A2 and A3 show that routes with high carrier route volume reside in ZIP Codes with higher levels of household income and education attainment.",High volume areas also have high incomes.,High volume areas also have high incomes.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
And she was always there for us,And she was always there for us,She gave us all the money we needed.,She gave us all the money we needed.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Um, and she said, she said, she said, Baby, she said, You don't understand about life the way I understand about life.","Um, and she said, she said, she said, Baby, she said, You don't understand about life the way I understand about life.",She told me I didn't have a clue how the real world worked and I should follow her.,She told me I didn't have a clue how the real world worked and I should follow her.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Property is an endless succession of bubbles in space, or cyberspace, with different people claiming an endless variety of interests in them.","Property is an endless succession of bubbles in space, or cyberspace, with different people claiming an endless variety of interests in them.",Property is just people saying they own something.,Property is just people saying they own something.,entailment,neutral,neutral,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"These workers were not trapped, yet unlike most occupants on the upper floors, they had chosen not to descend immediately after impact.","These workers were not trapped, yet unlike most occupants on the upper floors, they had chosen not to descend immediately after impact.",Some workers thought that the situation wouldn't escalate.,Some workers thought that the situation wouldn't escalate.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Nothing underscores the subtle complexities of language more strikingly than the miscommunications that occur among pilots, crew members, and air traffic controllers.","Nothing underscores the subtle complexities of language more strikingly than the miscommunications that occur among pilots, crew members, and air traffic controllers.",Pilots are always perfect communicators.,Pilots are always perfect communicators.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Yousef managed to escape to Pakistan, but his accomplice, Murad-whom KSM claims to have sent to Yousef with $3,000 to help fund the operation-was arrested and disclosed details of the plot while under interrogation.","Yousef managed to escape to Pakistan, but his accomplice, Murad-whom KSM claims to have sent to Yousef with $3,000 to help fund the operation-was arrested and disclosed details of the plot while under interrogation.",Murad told investigators where to locate Yousef in Pakistan.,Murad told investigators where to locate Yousef in Pakistan.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"One can imagine a bulldozer operator as he blades out a road for a new development being hailed by the developer   Hey, Loyd ...","One can imagine a bulldozer operator as he blades out a road for a new development being hailed by the developer   Hey, Loyd ...",You can imagine a bulldozer operator starting a bulldozer.,You can imagine a bulldozer operator starting a bulldozer.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"So anyway, Dad goes and makes this nice big glass of chocolate milk for me.","So anyway, Dad goes and makes this nice big glass of chocolate milk for me.",Dad got me some chocolate milk from the fridge.,Dad got me some chocolate milk from the fridge.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
well supposedly in seven days they're going they're going to look through y our background and make sure you are not an ex-con or don't have,well supposedly in seven days they're going they're going to look through y our background and make sure you are not an ex-con or don't have,They will supposedly do a background check over the next seven days.,They will supposedly do a background check over the next seven days.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"I'm uh, Chief Master Sergeant, retired, as Rick said.","I'm uh, Chief Master Sergeant, retired, as Rick said.",Rick told you I was retired.,Rick told you I was retired.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
Anyhow the man comes in.,Anyhow the man comes in.,The man entered the room.,The man entered the room.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Of course, not every typographical error should be ascribed to a hidden unconscious motive on the part of the typesetter (or typist).","Of course, not every typographical error should be ascribed to a hidden unconscious motive on the part of the typesetter (or typist).",Typesetters and typists never make typographical errors.,Typesetters and typists never make typographical errors.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"If you would like additional information about the IU School of Medicine campaign or Dr. Field's research, please call 274-3270.","If you would like additional information about the IU School of Medicine campaign or Dr. Field's research, please call 274-3270.",Dr. Field works as a dentist at University of Florida.,Dr. Field works as a dentist at University of Florida.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Although even some o' they should know better, for there's still a few was on Barbados with us, and are acquainted like me and you with Colonel Bishop.","Although even some o' they should know better, for there's still a few was on Barbados with us, and are acquainted like me and you with Colonel Bishop.",We are also acquainted with Captain Blood.,We are also acquainted with Captain Blood.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"On obtaining clean passports and the two damaged passports, see Intelligence reports, interrogations of KSM, July 3, 2003; Sept. 9, 2003.","On obtaining clean passports and the two damaged passports, see Intelligence reports, interrogations of KSM, July 3, 2003; Sept. 9, 2003.",KSM always failed to get clean documents.,KSM always failed to get clean documents.,contradiction,neutral,neutral,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Across from the square are the back streets of Laleli, the place to look for low-priced clothes.","Across from the square are the back streets of Laleli, the place to look for low-priced clothes.",Cheap clothes are for sale in Laleli if you go to the right boutiques.,Cheap clothes are for sale in Laleli if you go to the right boutiques.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Besides the lexicon, grammar--especially syntax--has changed somewhat, too, though again not so much as to be incomprehensible to the average modern reader.","Besides the lexicon, grammar--especially syntax--has changed somewhat, too, though again not so much as to be incomprehensible to the average modern reader.",Grammar has changed but not too much.,Grammar has changed but not too much.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"The main conclusion to draw from our simulation is that autonomous agents coupling one or more autocatalytic and work cycles are a perfectly reasonable, if novel, form of nonequilibrium, open chemical reaction network.","The main conclusion to draw from our simulation is that autonomous agents coupling one or more autocatalytic and work cycles are a perfectly reasonable, if novel, form of nonequilibrium, open chemical reaction network.",We can draw a conclusion from the simulation we did on the computer.,We can draw a conclusion from the simulation we did on the computer.,neutral,entailment,entailment,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"For an authentic feel of old Portugal, slip into the cool entrance hall of theimpressive Leal Senado ( Loyal Senate  building), a fine example of colonial architecture.","For an authentic feel of old Portugal, slip into the cool entrance hall of theimpressive Leal Senado ( Loyal Senate  building), a fine example of colonial architecture.",The Loyal Senate building is beautiful.,The Loyal Senate building is beautiful.,entailment,neutral,neutral,False,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"One agency intended to implement an employee travel claim procedure allowing travelers, with certain exceptions, to merely list an aggregate amount of all expenses that individually cost $75 or less.","One agency intended to implement an employee travel claim procedure allowing travelers, with certain exceptions, to merely list an aggregate amount of all expenses that individually cost $75 or less.",This idea was not well-received by t=other agencies.,This idea was not well-received by t=other agencies.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
yeah i have two two boys twelve and sixteen,yeah i have two two boys twelve and sixteen,I also have a daughter that is younger than the boys.,I also have a daughter that is younger than the boys.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
The Friends operate at two levels -the Citywide Friends and the Branch Friends -and you can become active at either one or both levels.,The Friends operate at two levels -the Citywide Friends and the Branch Friends -and you can become active at either one or both levels.,"We don't separate the level of friends, everyone is the same.","We don't separate the level of friends, everyone is the same.",contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.","I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.",There was a great danger of the bomb exploding.,There was a great danger of the bomb exploding.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
Our initial observations suggest that GPRA performance reports are likely to be more useful if they,Our initial observations suggest that GPRA performance reports are likely to be more useful if they,The usefulness of GPRA reports might be increased.,The usefulness of GPRA reports might be increased.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"I assure you, sir, that I was fully informed of all.","I assure you, sir, that I was fully informed of all.",It is the detective's death that I was informed about.,It is the detective's death that I was informed about.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"He was born in 1880 something, like 188, I think it was 1889, I think it was when he was born.","He was born in 1880 something, like 188, I think it was 1889, I think it was when he was born.",He wasn't born until 1984.,He wasn't born until 1984.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"H. H. Richardson and his protege Charles Follen McKim were alumni, as well as McKim's assistants, John M. Carrare and Thomas Hastings.","H. H. Richardson and his protege Charles Follen McKim were alumni, as well as McKim's assistants, John M. Carrare and Thomas Hastings.","H. H. Richardson, Charles Follen McKim, John M. Carrare and Thomas Hastings were all alumni.","H. H. Richardson, Charles Follen McKim, John M. Carrare and Thomas Hastings were all alumni.",entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
men um free of the charge one guy went in stabbed his ex-wife to death because she was sleeping with another guy i mean ex-wife you know we're talking and,men um free of the charge one guy went in stabbed his ex-wife to death because she was sleeping with another guy i mean ex-wife you know we're talking and,A man killed his ex wife for sleeping with another guy after being freed from a prior charge.,A man killed his ex wife for sleeping with another guy after being freed from a prior charge.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"And I had put uh, five detachments out of U2's.","And I had put uh, five detachments out of U2's.",I worked with the detachments for the U2's every day for forty years.,I worked with the detachments for the U2's every day for forty years.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Napoleon attacked and destroyed Catalonia's sacred shrine, the monastery at Montserrat.","Napoleon attacked and destroyed Catalonia's sacred shrine, the monastery at Montserrat.",Napoleon was responsible for the destruction of the monastery at Montserrat.,Napoleon was responsible for the destruction of the monastery at Montserrat.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
oh i see well i like the atmosphere myself,oh i see well i like the atmosphere myself,I do like the vibe myself.,I do like the vibe myself.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
I shall always be grateful.,I shall always be grateful.,I am so happy and grateful for what you have done today.,I am so happy and grateful for what you have done today.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"It is, of course, rather radical to suppose that there is quantum uncertainty in the law, but it does not seem obviously impossible.","It is, of course, rather radical to suppose that there is quantum uncertainty in the law, but it does not seem obviously impossible.",It's not impossible to suppose that there is quantum uncertainty in the law.,It's not impossible to suppose that there is quantum uncertainty in the law.,entailment,entailment,entailment,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
and that's a lot of it is due to the fact that the mothers are on drugs,and that's a lot of it is due to the fact that the mothers are on drugs,The mothers are drug addicts.,The mothers are drug addicts.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"To suppress the image of homosexuality as a vice, Clinton and Birch attribute civic virtues to gays.","To suppress the image of homosexuality as a vice, Clinton and Birch attribute civic virtues to gays.",Clinton and Birch are homosexuals.,Clinton and Birch are homosexuals.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
"Then I get it and I'm like great, What do I do with it?","Then I get it and I'm like great, What do I do with it?",I don't know how I was supposed to use the contraption.,I don't know how I was supposed to use the contraption.,neutral,neutral,neutral,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
Samuel Sheinbein will serve a murder sentence in Israel.,Samuel Sheinbein will serve a murder sentence in Israel.,Samuel Sheinbein will serve a murder sentence in Canada.,Samuel Sheinbein will serve a murder sentence in Canada.,contradiction,contradiction,contradiction,True,en,53.38005065917969,100,0.5338005065917969,0.3,20,False,0.3,1.0,1.0,1.0
