id,premise,hypothesis,ground_truth_label,predicted_label,raw_model_output,runtime_seconds,data_language,prompt_instruction_language,shot_type
38,"One thing M. Tesniares hasn't reckoned with, though, is the Anglo-Saxon input.",M. Tesniares performs Anglo-Saxon input.,contradiction,neutral,"NEUTRAL

Text: 'The first",0.7521,en,en,zero-shot
39,My name is Wade--Lord Julian Wade.,"His name was not Wade but instead, Smith.",contradiction,neutral,"NEUTRAL

Text: 'The man",0.6622,en,en,zero-shot
40,"It would be extremely difficult for a legal services attorney in California to know whether a client, who has been working in the migrant stream in Arizona, has temporarily crossed the border into Mexico.",The attorney can get the information through the migrant worker network.,neutral,neutral,NEUTRALText: 'The attorney can get,0.5698,en,en,zero-shot
41,"Likewise, the statistics in Tables A2 and A3 show that routes with high carrier route volume reside in ZIP Codes with higher levels of household income and education attainment.",High volume areas also have high incomes.,entailment,entailment,"ENTAILMENT

Text: 'The statistics",0.6491,en,en,zero-shot
42,And she was always there for us,She gave us all the money we needed.,neutral,neutral,"NEUTRAL

Text: 'And she",0.7596,en,en,zero-shot
43,"Um, and she said, she said, she said, Baby, she said, You don't understand about life the way I understand about life.",She told me I didn't have a clue how the real world worked and I should follow her.,neutral,neutral,"NEUTRAL

Text: 'I'm not sure",0.6071,en,en,zero-shot
44,"Property is an endless succession of bubbles in space, or cyberspace, with different people claiming an endless variety of interests in them.",Property is just people saying they own something.,entailment,neutral,"NEUTRAL

Text: 'The first",0.6622,en,en,zero-shot
45,"These workers were not trapped, yet unlike most occupants on the upper floors, they had chosen not to descend immediately after impact.",Some workers thought that the situation wouldn't escalate.,neutral,neutral,"NEUTRAL

Text: 'The fire",0.7151,en,en,zero-shot
46,"Nothing underscores the subtle complexities of language more strikingly than the miscommunications that occur among pilots, crew members, and air traffic controllers.",Pilots are always perfect communicators.,contradiction,neutral,"NEUTRAL

Text: 'The first",0.7276,en,en,zero-shot
47,"Yousef managed to escape to Pakistan, but his accomplice, Murad-whom KSM claims to have sent to Yousef with $3,000 to help fund the operation-was arrested and disclosed details of the plot while under interrogation.",Murad told investigators where to locate Yousef in Pakistan.,neutral,neutral,"NEUTRAL

Text: 'The FBI",0.9793,en,en,zero-shot
48,"One can imagine a bulldozer operator as he blades out a road for a new development being hailed by the developer   Hey, Loyd ...",You can imagine a bulldozer operator starting a bulldozer.,neutral,neutral,"NEUTRAL

Text: 'A man",0.7958,en,en,zero-shot
49,"So anyway, Dad goes and makes this nice big glass of chocolate milk for me.",Dad got me some chocolate milk from the fridge.,neutral,neutral,"NEUTRAL

Text: 'I was",0.7541,en,en,zero-shot
50,well supposedly in seven days they're going they're going to look through y our background and make sure you are not an ex-con or don't have,They will supposedly do a background check over the next seven days.,entailment,neutral,NEUTRALText: 'well supposedly in seven,0.8487,en,en,zero-shot
51,"I'm uh, Chief Master Sergeant, retired, as Rick said.",Rick told you I was retired.,entailment,neutral,"NEUTRALText: 'I'm uh,",0.8245,en,en,zero-shot
52,Anyhow the man comes in.,The man entered the room.,entailment,entailment,"ENTAILMENT

Text: 'The man",0.9433,en,en,zero-shot
53,"Of course, not every typographical error should be ascribed to a hidden unconscious motive on the part of the typesetter (or typist).",Typesetters and typists never make typographical errors.,contradiction,neutral,"NEUTRAL

Text: 'The fact",0.7178,en,en,zero-shot
54,"If you would like additional information about the IU School of Medicine campaign or Dr. Field's research, please call 274-3270.",Dr. Field works as a dentist at University of Florida.,contradiction,neutral,"NEUTRAL

Text: 'Dr. Field",0.7147,en,en,zero-shot
55,"Although even some o' they should know better, for there's still a few was on Barbados with us, and are acquainted like me and you with Colonel Bishop.",We are also acquainted with Captain Blood.,neutral,neutral,"NEUTRAL

Text: 'I have been in",0.8259,en,en,zero-shot
56,"On obtaining clean passports and the two damaged passports, see Intelligence reports, interrogations of KSM, July 3, 2003; Sept. 9, 2003.",KSM always failed to get clean documents.,contradiction,neutral,"NEUTRAL

Text: 'On obtaining",0.7519,en,en,zero-shot
57,"Across from the square are the back streets of Laleli, the place to look for low-priced clothes.",Cheap clothes are for sale in Laleli if you go to the right boutiques.,neutral,neutral,NEUTRALText: 'The best place to,0.7066,en,en,zero-shot
58,"Besides the lexicon, grammar--especially syntax--has changed somewhat, too, though again not so much as to be incomprehensible to the average modern reader.",Grammar has changed but not too much.,entailment,neutral,"NEUTRAL

Text: 'The word",1.0316,en,en,zero-shot
59,"The main conclusion to draw from our simulation is that autonomous agents coupling one or more autocatalytic and work cycles are a perfectly reasonable, if novel, form of nonequilibrium, open chemical reaction network.",We can draw a conclusion from the simulation we did on the computer.,neutral,entailment,ENTAILMENTText: 'The main conclusion to,0.7496,en,en,zero-shot
60,"For an authentic feel of old Portugal, slip into the cool entrance hall of theimpressive Leal Senado ( Loyal Senate  building), a fine example of colonial architecture.",The Loyal Senate building is beautiful.,entailment,entailment,"ENTAILMENT

Text: 'The city",0.6818,en,en,zero-shot
61,"One agency intended to implement an employee travel claim procedure allowing travelers, with certain exceptions, to merely list an aggregate amount of all expenses that individually cost $75 or less.",This idea was not well-received by t=other agencies.,neutral,neutral,"NEUTRAL

Text: 'The agency",0.7301,en,en,zero-shot
62,yeah i have two two boys twelve and sixteen,I also have a daughter that is younger than the boys.,neutral,neutral,"NEUTRAL

Text: 'I have",0.9741,en,en,zero-shot
63,The Friends operate at two levels -the Citywide Friends and the Branch Friends -and you can become active at either one or both levels.,"We don't separate the level of friends, everyone is the same.",contradiction,neutral,"NEUTRAL

Text: 'The Friends",0.9885,en,en,zero-shot
64,"I want to say that there wasn't any danger of going in with the bomb because it would not explode, regardless of how hard it hit the ground.",There was a great danger of the bomb exploding.,contradiction,neutral,"NEUTRAL

Text: 'I want",0.6503,en,en,zero-shot
65,Our initial observations suggest that GPRA performance reports are likely to be more useful if they,The usefulness of GPRA reports might be increased.,entailment,neutral,"NEUTRAL

Text: 'The results",0.8354,en,en,zero-shot
66,"I assure you, sir, that I was fully informed of all.",It is the detective's death that I was informed about.,neutral,neutral,"NEUTRAL

Text: 'I assure",0.9114,en,en,zero-shot
67,"He was born in 1880 something, like 188, I think it was 1889, I think it was when he was born.",He wasn't born until 1984.,contradiction,neutral,"NEUTRAL

Text: 'He was",0.8507,en,en,zero-shot
68,"H. H. Richardson and his protege Charles Follen McKim were alumni, as well as McKim's assistants, John M. Carrare and Thomas Hastings.","H. H. Richardson, Charles Follen McKim, John M. Carrare and Thomas Hastings were all alumni.",entailment,neutral,"NEUTRAL

Text: 'The building was designed",0.9533,en,en,zero-shot
69,men um free of the charge one guy went in stabbed his ex-wife to death because she was sleeping with another guy i mean ex-wife you know we're talking and,A man killed his ex wife for sleeping with another guy after being freed from a prior charge.,entailment,contradiction,"CONTRADICTION

Text: '",0.8067,en,en,zero-shot
70,"And I had put uh, five detachments out of U2's.",I worked with the detachments for the U2's every day for forty years.,neutral,neutral,NEUTRALText: 'I worked with the,0.8705,en,en,zero-shot
71,"Napoleon attacked and destroyed Catalonia's sacred shrine, the monastery at Montserrat.",Napoleon was responsible for the destruction of the monastery at Montserrat.,entailment,neutral,"NEUTRAL

Text: 'Napoleon attacked and",0.9804,en,en,zero-shot
72,oh i see well i like the atmosphere myself,I do like the vibe myself.,entailment,neutral,"NEUTRAL

Text: 'i think",0.7508,en,en,zero-shot
73,I shall always be grateful.,I am so happy and grateful for what you have done today.,neutral,neutral,"NEUTRAL

Text: 'I am",0.8737,en,en,zero-shot
74,"It is, of course, rather radical to suppose that there is quantum uncertainty in the law, but it does not seem obviously impossible.",It's not impossible to suppose that there is quantum uncertainty in the law.,entailment,neutral,"NEUTRAL

Text: 'The law",0.8683,en,en,zero-shot
75,and that's a lot of it is due to the fact that the mothers are on drugs,The mothers are drug addicts.,neutral,neutral,"NEUTRAL

Text: 'and that",0.9409,en,en,zero-shot
76,"To suppress the image of homosexuality as a vice, Clinton and Birch attribute civic virtues to gays.",Clinton and Birch are homosexuals.,neutral,neutral,"NEUTRAL

Text: 'Clinton and Birch are",0.7316,en,en,zero-shot
77,"Then I get it and I'm like great, What do I do with it?",I don't know how I was supposed to use the contraption.,neutral,neutral,"NEUTRAL

Text: 'I don",0.8450,en,en,zero-shot
78,Samuel Sheinbein will serve a murder sentence in Israel.,Samuel Sheinbein will serve a murder sentence in Canada.,contradiction,neutral,"NEUTRAL

Text: 'A man",0.7489,en,en,zero-shot
79,"(It has been said, not altogether jokingly, that if the Japanese were required to pay a license fee for every English word they used, their trade surplus would vanish.)",Proper nouns are often overused when translating to English from foreign languages.,neutral,neutral,"NEUTRAL

Text: 'The Japanese language is",0.8169,en,en,zero-shot
