text,ground_truth_entities,predicted_entities,intermediate_en_text,intermediate_en_entities,raw_model_response,error,runtime_seconds
"Sikukuu ya siku tatu , inayoadhimisha kumalizika kwa mwezi mtufuku wa Ramadhan , kwa kawaida inasheherekewa misikitini , karamu katika familia na ununuzi wa nguo mpya , zawadi na kupeana vyakula vitamu .","[{'entity': 'siku tatu', 'type': 'DATE'}]","[{'entity': 'Ramadhan', 'type': 'DATE'}, {'entity': 'misikitini', 'type': 'LOC'}, {'entity': 'karamu', 'type': 'ORG'}, {'entity': 'nguo mpya', 'type': 'LOC'}, {'entity': 'zawadi', 'type': 'LOC'}, {'entity': 'kupeana', 'type': 'LOC'}, {'entity': 'vyakula', 'type': 'LOC'}, {'entity': 'vitamu', 'type': 'LOC'}]","This is a Swahili text translated to English: Sikukuu ya siku tatu ,",[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Ramadhan"",
      ""entity_type"": ""DATE""
    },
    {
      ""entity_text"": ""misikitini"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""karamu"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""nguo mpya"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""zawadi"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""kupeana"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""vyakula"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""vitamu"",
      ""entity_type"": ""LOC""
    }
 ",,6.989998817443848
Kwa mujibu wa shirika la habari la Uingereza Reuters hisa za shirika la ndege la Ujerumani Luftansa zilipanda kwa asilimia 6 .,"[{'entity': 'Uingereza', 'type': 'LOC'}, {'entity': 'Reuters', 'type': 'ORG'}, {'entity': 'Ujerumani', 'type': 'LOC'}, {'entity': 'Luftansa', 'type': 'ORG'}]","[{'entity': 'Uingereza', 'type': 'ORG'}, {'entity': 'Reuters', 'type': 'ORG'}, {'entity': 'Ujerumani', 'type': 'ORG'}, {'entity': 'Luftansa', 'type': 'ORG'}, {'entity': '6', 'type': 'DATE'}]",This is a Swahili text translated to English: Kwa mujibu wa shirika la,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Uingereza"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Reuters"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Ujerumani"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Luftansa"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""6"",
      ""entity_type"": ""DATE""
    }
  ]
}
```
---

--- Your Task ---
Text: ""Kwa mwisho wateja wanaopenda kupata maisha ya kufanya kazi katika jamhuri hiyo.""

JSON Output (ONLY return this JSON, with NO other text):
```json
{
  ""entities"": [",,6.923557996749878
Wanajeshi wa Kenya Alhamisi wamewaua washukiwa wanne wa wapiganaji wa kikundi cha Al - Shabaab na kumkamata mmoja wao baada ya tukio la kushambuliwa basi katika Kaunti ya Lamu .,"[{'entity': 'Kenya', 'type': 'LOC'}, {'entity': 'Alhamisi', 'type': 'DATE'}, {'entity': 'Al - Shabaab', 'type': 'ORG'}, {'entity': 'Lamu', 'type': 'LOC'}]","[{'entity': 'Wanajeshi wa Kenya', 'type': 'PER'}, {'entity': 'Alhamisi', 'type': 'PER'}, {'entity': 'wamewaua', 'type': 'PER'}, {'entity': 'washukiwa', 'type': 'LOC'}, {'entity': 'wanne', 'type': 'LOC'}, {'entity': 'wa wapiganaji', 'type': 'LOC'}, {'entity': 'wa kikundi', 'type': 'LOC'}]",This is a Swahili text translated to English: Wanajeshi wa Kenya Alhamisi wamewaua,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Wanajeshi wa Kenya"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""Alhamisi"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""wamewaua"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""washukiwa"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""wanne"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""wa wapiganaji"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""wa kikundi"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""cha Al - Shabaab"",
      ""entity_type",,6.9738733768463135
"Nchi hiyo , haijaripoti kisa chochote cha maambukizi ya Corona , lakini amri ya watu kusalia makwao imekuwa ikitekelezwa kwa mda wa wiki tatu zilizopita .",[],"[{'entity': 'Nchi', 'type': 'LOC'}, {'entity': 'Haijaripoti', 'type': 'ORG'}, {'entity': 'Kisa', 'type': 'ORG'}, {'entity': 'Chochote', 'type': 'ORG'}, {'entity': 'Cha', 'type': 'ORG'}, {'entity': 'Maambukizi', 'type': 'ORG'}, {'entity': 'Ya', 'type': 'ORG'}, {'entity': 'Corona', 'type': 'ORG'}]","This is a Swahili text translated to English: Nchi hiyo , haijaripoti kisa",[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Nchi"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Haijaripoti"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Kisa"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Chochote"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Cha"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Maambukizi"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Ya"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Corona"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity",,6.95295524597168
Msigwa alihoji .,"[{'entity': 'Msigwa', 'type': 'PER'}]","[{'entity': 'Msigwa', 'type': 'ORG'}, {'entity': 'alihoji', 'type': 'LOC'}]",This is a Swahili text translated to English: Msigwa alihoji .,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Msigwa"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""alihoji"",
      ""entity_type"": ""LOC""
    }
  ]
}
```",,6.85460376739502
Walikuwa wapi ?,[],"[{'entity': 'Walikuwa wapi ?', 'type': 'LOC'}]",This is a Swahili text translated to English: Walikuwa wapi ?,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Walikuwa wapi ?"",
      ""entity_type"": ""LOC""
    }
  ]
}
```",,6.855491638183594
Maafisa wa serikali ya Kenya wanasema watu watatu wameuawa Alhamisi wakati watu wanaoshukiwa kuwa ni wapiganaji wa al - Shabab walipo lishambulia basi katika kaunti ya pwani ya Lamu .,"[{'entity': 'Kenya', 'type': 'LOC'}, {'entity': 'Alhamisi', 'type': 'DATE'}, {'entity': 'al - Shabab', 'type': 'ORG'}, {'entity': 'Lamu', 'type': 'LOC'}]","[{'entity': 'Maafisa wa serikali ya Kenya', 'type': 'PER'}, {'entity': 'watu watatu', 'type': 'PER'}, {'entity': 'wameuawa', 'type': 'PER'}, {'entity': 'Alhamisi', 'type': 'PER'}, {'entity': 'wakati watu wanaoshukiwa', 'type': 'DATE'}, {'entity': 'kuwa ni wapiganaji wa al - Shabab', 'type': 'ORG'}]",This is a Swahili text translated to English: Maafisa wa serikali ya Kenya,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Maafisa wa serikali ya Kenya"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""watu watatu"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""wameuawa"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""Alhamisi"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""wakati watu wanaoshukiwa"",
      ""entity_type"": ""DATE""
    },
    {
      ""entity_text"": ""kuwa ni wapiganaji wa al - Shabab"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""walipo lishambulia"",
      ""entity_type"": ""ORG""",,6.979999780654907
"Serikali ya Tanzania imekata rufaa kupinga kuachiliwa huru Mkurugenzi Mkuu wa zamani wa Shirika la Utangazaji Tanzania ( TBC ) , Tido Mhando .","[{'entity': 'Tanzania', 'type': 'LOC'}, {'entity': 'Shirika la Utangazaji Tanzania', 'type': 'ORG'}, {'entity': 'TBC', 'type': 'ORG'}, {'entity': 'Tido Mhando', 'type': 'PER'}]","[{'entity': 'Serikali ya Tanzania', 'type': 'ORG'}, {'entity': 'TBC', 'type': 'ORG'}, {'entity': 'Mkurugenzi Mkuu wa zamani wa Shirika la Utangazaji Tanzania', 'type': 'ORG'}, {'entity': 'Tido Mhando', 'type': 'PER'}]",This is a Swahili text translated to English: Serikali ya Tanzania imekata rufaa,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Serikali ya Tanzania"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""TBC"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Mkurugenzi Mkuu wa zamani wa Shirika la Utangazaji Tanzania"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Tido Mhando"",
      ""entity_type"": ""PER""
    }
  ]
}
```",,6.926172018051148
"Ofisi ya bajeti ya White House pia imekataa ombi la Baraza hilo , na mwanasheria binafsi wa Rais Trump , Rudy Giuliani pia amekataa kuitika wito wa hati inayomtaka kutoa nyaraka zinazohusiana na juhudi za kuishinikiza Ukraine kumchunguza makamu wa rais wa zamani na mgombea urais wa Democrat hivi sasa , Joe Biden .","[{'entity': 'White House', 'type': 'LOC'}, {'entity': 'Trump', 'type': 'PER'}, {'entity': 'Rudy Giuliani', 'type': 'PER'}, {'entity': 'Ukraine', 'type': 'LOC'}, {'entity': 'Democrat', 'type': 'ORG'}, {'entity': 'Joe Biden', 'type': 'PER'}]","[{'entity': 'White House', 'type': 'LOC'}, {'entity': 'Baraza hilo', 'type': 'ORG'}, {'entity': 'Rudy Giuliani', 'type': 'PER'}, {'entity': 'Joe Biden', 'type': 'PER'}, {'entity': 'Ukraine', 'type': 'LOC'}, {'entity': 'Juhudi za kuishinikiza', 'type': 'ORG'}, {'entity': 'Nyaraka zinazohusiana na juhudi za kuishinikiza', 'type': 'ORG'}]",This is a Swahili text translated to English: Ofisi ya bajeti ya White,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""White House"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Baraza hilo"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Rudy Giuliani"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""Joe Biden"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""Ukraine"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Juhudi za kuishinikiza"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Nyaraka zinazohusiana na juhudi za kuishinikiza"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text",,7.037388563156128
"37 kwa pipa , kikiwa juu kwa asilimia 4 .",[],"[{'entity': '37', 'type': 'DATE'}, {'entity': 'kwa', 'type': 'LOC'}, {'entity': 'pipa', 'type': 'LOC'}, {'entity': 'kikiwa', 'type': 'LOC'}, {'entity': 'juu', 'type': 'LOC'}, {'entity': 'wa', 'type': 'LOC'}, {'entity': 'asilimia', 'type': 'LOC'}, {'entity': '4', 'type': 'DATE'}]","This is a Swahili text translated to English: 37 kwa pipa , kikiwa",[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""37"",
      ""entity_type"": ""DATE""
    },
    {
      ""entity_text"": ""kwa"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""pipa"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""kikiwa"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""juu"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""wa"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""asilimia"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""4"",
      ""entity_type"": ""DATE""
    }
  ]
}
```
",,6.883056640625
"” Miongoni mwa hatua alizochukua rais huyo kukabiliana na maambukizi ya virusi vya Corona ni kupiga marufuku usafiri wa magari , kufunga biashara ambazo sio muhimu isipokuwa uuzaji na ununuzi wa chakula na dawa .",[],"[{'entity': 'Miongoni mwa hatua', 'type': 'ORG'}, {'entity': 'virusi vya Corona', 'type': 'ORG'}, {'entity': 'kupiga marufuku', 'type': 'LOC'}, {'entity': 'usafiri wa magari', 'type': 'LOC'}, {'entity': 'kufunga biashara', 'type': 'LOC'}, {'entity': 'ambazo sio muhimu', 'type': 'LOC'}, {'entity': 'uuzaji', 'type': 'PER'}]",This is a Swahili text translated to English: ” Miongoni mwa hatua alizochukua,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Miongoni mwa hatua"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""virusi vya Corona"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""kupiga marufuku"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""usafiri wa magari"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""kufunga biashara"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""ambazo sio muhimu"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""uuzaji"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_",,6.984513521194458
"Kauli ya Chenge Chenge ambaye aliwahi kuwa Mwanasheria Mkuu wa Serikali , aliwataka wabunge kusubiri hadi taarifa ya suala hilo itakapowasilishwa bungeni na Kamati ya Kudumu ya Bunge ya Haki , Maadili na Madaraka ya Bunge na watakuwa na nafasi ya kujadili .","[{'entity': 'Chenge Chenge', 'type': 'PER'}]","[{'entity': 'Kauli ya Chenge', 'type': 'PER'}, {'entity': 'Serikali', 'type': 'ORG'}, {'entity': 'Mwanasheria', 'type': 'ORG'}, {'entity': 'Mkuu wa Serikali', 'type': 'ORG'}, {'entity': 'Kamati ya Kudumu ya Bunge ya Haki', 'type': 'ORG'}, {'entity': 'Maadili', 'type': 'LOC'}, {'entity': 'Madaraka', 'type': 'LOC'}]",This is a Swahili text translated to English: Kauli ya Chenge Chenge ambaye,[],"```json
{
  ""entities"": [
    {
      ""entity_text"": ""Kauli ya Chenge"",
      ""entity_type"": ""PER""
    },
    {
      ""entity_text"": ""Serikali"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Mwanasheria"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Mkuu wa Serikali"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Kamati ya Kudumu ya Bunge ya Haki"",
      ""entity_type"": ""ORG""
    },
    {
      ""entity_text"": ""Maadili"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""Madaraka"",
      ""entity_type"": ""LOC""
    },
    {
      ""entity_text"": ""B",,7.016824722290039
