premise,hypothesis,ground_truth,predicted_label,correct,language,runtime_seconds,samples_processed,runtime_per_sample,temperature,max_new_tokens,do_sample
Kiti cha kubeba kinapendwa sana,Hakuna anayependa kipandishi.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kwa kutoa msaada kwa uokoaji wa Septemba 11, ona, kwa mfano . mahojiano ya mwananchi 14 (Apr.",Hakuna msaada unaopatikana kwa upande wa uokoaji wa Septemba 11.,contradiction,contradiction,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Mpeanaji habari wa Tennesse alitumia hali ya hewa ya mbwa kwa 'hali ya hewa ya joto bila mvua'  ambayo inatokana na msemo wa siku za mbwa inayomaanisha mwezi wa Agosti iliyo na hali ya anga kavu.,Juni na Julai pia zian joto sana Tennessee.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Nilimuua, ni kweli.",Maisha ya mwanaume huyo yaliokolewa.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Lakini nilikuwa haraka kukupa.,Mtu ule alitaka mpenzi.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kama unasikia una uwezo wa kuifanya, sukuma kandokando ya ukungu wa njia, nyuma ya bwawa la Emerald, hadi kwenye vuli la Nevada, ndipo utaanza kupoteza makundi ya watu.","Nevada Falls ni eneo nzuri ambalo halina watu wengi, na ni pahala pazuri pa kutembea.",neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Niliripoti hili kwa barua kwa Daktari, ilionekana kumchekesha, na alinitumia keki ndogo ya matunda Krismasi hio.",Daktari alinitumia chupa la pombe krismasi hio.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Maana kwamba daftari ni hundi tupu tu unayojua na ni fedha zisizo na ukomo si kwamba yeye huenda na hutumia bila ukomo lakini ni karibu na mtazamo huo,Anahisi kuwa anaweza kutumia zaidi ya dola za Marekani 1000 kila usiku.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Hata hivyo, shujaa wangu ni Richard Heseltine, mwenyekiti wa Overseas Investment Trust, ambaye alijiuzulu mapema mwezi huu kwa upinzani na mpango wa biashara ambao alilazimishwa na wakuu wake.",Heseltine aliacha kazi yake.,entailment,entailment,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Chanzo hicho kilidai kuwa Bin Ladin aliomba na kupokea msaada kutoka kwa mtaalam wa bomu, ambaye alibaki huko kutoa mafunzo hadi Septemba 1996, wakati ambapo habari zilipelekwa Marekani.",Aliyetoa ujumbe hakujua kitu kuhusu Bin Laden.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kuunganishwa kwa Nova Scotia na Narrow Chignecto Isthmus, New Brunswick ikawa mkoa uliotengwa mwaka wa 1784 katika madai ya wakimbizi 14000.",New Brunswick haikuwa jimbo katika mwaka wa 1784.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Walisisitiza kuwa uangalifu wa mara kwa mara unahitajika kuhakikisha kuwa uthabiti mwafaka unafuatiliwa. Kushughulikia athari za sasa na pia kuzuia kusimamishwa kwa operesheni na kuwa wenye kutumia na jukumu la kudumisha mifumo ya habari inafuatilia sera za shirika.,walisema ni muhimu kuwa macho ikija maneno ya habari ya uongozi kiwandani,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Kama kuna jambo lolote ambalo naweza kufanya.,Nilijua hakuna kitu ambacho ningeweza kufanya.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Mengi yamefanyika kwa kumuandika kazi Michael Apted kuleta ubinadamu kwenye kipindi.,Michael Apted aliajiriwa kuongeza ubora wa kibinafsi kwenye mfululizo.,entailment,entailment,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kwa shukrani ya kutoa $100 ama mingi kwa kampeni, wewe na wageni mmekaribishwa kushuhudia mapokezi maalumu ,Alhamisi ,Machi 23,2000 kutoka saa 5:30 -8:00 jioni jukwaa la Herron.",Wewe na mgeni mtaalikwa kuhudhuria mapokezi maalum ikiwa utachangia $100 au zaidi kwenye kampeni.,entailment,entailment,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Utaona video ya stori ya Anna na Amsterdam chini ya makazi pamoja na picha na shaba za wakati huo.,Hutaona picha.,contradiction,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kwa kuongezea, wakazi wa Indiana wanaweza kuendelea kupokea mkopo wa ushuru wa Indiana ambayo inaelekezwa moja kwa moja dhidi ya mwisho wa fomu ya ushuru ya eneo hilo.",Wakazi wa Indiana wanapata mkopo wa ushuru wa asilimia 50 ikiwa wanachangia thieta.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Meya wa Letohrad, mji ambao Josef Korbel alikua, anasema alimtumia Albright barua tatu miaka ya karibuni.",Korbell alimwongoza Lotohrad.,entailment,entailment,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Katika uchumi wenye uwekezaji, nini kitafanyika kama tunaweza kuchukua faida zetu za biashara na kuimarisha ziada yoyote ili tuweze kuunda tufaha zaidi na mapea kuliko tulivyoanza na?",Tunaweza fanya biashara na mtu yeyote aliyetuzunguka.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Tunaweza endelea kuipa nguvu masomo ya mawakili wazuri.,"Tunaweza kuwaelimisha mawakili, ninauhakika!",entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Mpokeaji wa mwisho wa Pakistan angeenda kwa hawaladar ya Pakistani na kupolea pesa zake, katika rupees, kutoka kwa pesa yoyote ambayo hawaladar ya Pakistani ilikuwa nayo mkononi.",Mwenye kuipata wa mwisho atahitajika kusafiri hadi Turkey ili kupata pesa zake.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Kinacholeta wasiwasi kwa kweli ni ya kuwa HMOs zinawezakosa kupunguza gharama mbeleni.,Kila mtu anaaminia HMO kuweza  kudhibiti  gharama baada ya muda mrefu.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Na bado iliniogopesha.,Nilikuwa na hofu kidogo.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
oh oh bila shaka inaonekana ni kama tukuo bora,Hiyo inaonekana kama uzoefu mmbaya.,contradiction,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kulingana na tathmini hii ya hatari, Centrelink ilianzisha mikakati maalum ya kuzuia lengo la kuelimisha walengwa na waajiri juu ya mahitaji ya kuripoti mapato.",Centrelink ilikuwa na mikakati mingi ya kuwafundisha watu jinsi ya kuripoti mapato kwa sababu serikali ilipoteza pesa nyingi kwa makosa,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Hii ni muhimu sana kwa maisha ya muda mrefu ya tembo katika huduma za kibinadamu, kama vile pori.",Hakuna kitakachofanywa kuwaokoa ndovu.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Tunanuia uwiano wa moja kwa moja kati ya kiasi kwa kila mtu na vipande kwa kila iwezekanavyo.,Tunajua hakuna uhusiano kati ya kiasi kwa kila mtu na vipande kwa kila iwezekanavyo.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Wakati huu nafikiria ni vema kuondoka katika kisiwa ambacho hakina maelenddeleo kwa amani.,Watu wanafikiria ya kwamba visiwa vinafaa kuchwa.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Kitu moja ambacho M. Tesniares hajaafikiana nacho ni mchango wa Uingereza.,M. Tesniares hufanya pembejeo ya Anglo-Saxon.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Jina langu ni Wade--Lord Julian Wade.,"Jina lake halikuwa Wade, lakini badala yake, Smith.",contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Ingekuwa vigumu zaidi kwa mwanasheria wa huduma za kisheria California kujua iwapo mteja, ambaye amekuwa akifanya kazi katika mkondo wa uhamiaji Arizona, amevuka mpaka kwa muda mfupi kuingia Mexico.","Wakili anaweza kupata habari kutoka kwa uhusiano wa wafanyakazi wageni,",neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Vilevile, takrimu katika meza ya A2 na A3 inaonyesha kuwa njia zenye idadi kuu za abiria zinakaa katika maeneo yenye hali nzuri zaidi za mapato ya nyumbani na masomo.",Maeneo yenye kiasi kikubwa pia yana mapato ya juu.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Na alikuwa pale daima kwa ajili yetu.,Alitupatia pesa zote tulizohitaji.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Alisema, Mpenzi, huyaelewi maisha jinsi ninavyoyaelewa.",Aliniambia sikuwa na kidokezo jinsi ulimwengu halisi ulivyofanya kazi na nipaswa kumfuata.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Mali ni mfululizo usio na mwisho wa michemko katika anga, au kwenye mtandao, na watu tofauti wanaodai kuwa na maslahi mbalimbali ndani yake.",Mali ni watu tu kusema wanamiliki kitu.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Wafanyakazi hawa hawakuwa wamefungiwa, lakini tofauti na wakazi wengi kwenye sakafu ya juu, walichagua kuteremka mara baada ya athari.",Wafanyikazi wengine walidhani kwamba hali haiwezi kuenea.,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Hakuna jambo ambalo linasisitiza matatizo magumu ya lugha zaidi kuliko mawasiliano ambayo hutokea kati ya rubani, abiria wa ndege, na watawala wa trafiki ya hewa.",Rubani huwa kamili kwa mawasiliano.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Yousf aliweza kutorokea Pakistan,bali mwenzake Murad, ambaye KSM inadai alimtuma Yousef na $3,000 ili kugharamia operesheni -alishikwa na kufufunuamaelezo  kuhusu njama hiyo akihojiwa.",Murad aliwajulisha wapelelezi mahali pa kumpata Yousef kule Pakistani.,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Mtu anaweza kufikiria mwendeshaji wa buldoza kama vile anapokuwa katika barabara ya maendeleo mapya yanayoonyeshwa na msanidi  Vipi, Loyd ...",Unaweza kufikiria opereta wa buldoza akianzisha buldoza.,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kwa hiyo, Baba huenda na kuniandalia glasi nzuri sana ya maziwa ya chokoleti .",Baba alipata maziwa ya chokoleti kutoka kwa jokofu.,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Katika siku saba wataweza kupitia historia yetu na kuhakikisha kuwa sisi hatujawahi kuwa walaghai ama hamna,Wao watastahili kufuatilia mandharinyuma katika siku saba zifuatazo.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Mstaafu sergenti mkuu, kama alivyosma Rick.",Rick alikuambia kuwa nilikuwa nimestaafu.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Mwanaume huingia kwa vyovyote vile.,Mwanaume aliingia chumbani.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kwa kweli, sio kila makosa ya uandishi ambao unaweza shirikishwa na azimio za kuficha zisizo za fahamu kwa mwandishi.",karani wote hawafanyi makosa ya uchapishaji,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Ikiwa ungependa habari za ziada kuhusu kampeni ya IU Shule ya Madawa au utafiti wa Dk Field, tafadhali piga wito 274-3270.",Dr Field anafanya kazi kama daktari wa meno katika Chuo Kikuu cha Florida.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Ingawa hata baadhi yao wanapaswa kujua vizuri zaidi, kulikuwa bado na wachache Barbados pamoja nasi, na wanajua kama mimi na wewe na kanali Askofu.",Pia sisi tunajuana na Kapteni Blood.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Ili kupata pasipoti safi na pasipoti mbili zilizoharibiwa, angalia Ripoti za Upelelezi, uhoji wa KSM, Julai 3, 2003; Septemba 9, 2003.",KSM daima walikosa kupata hati safi.,contradiction,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kupita mraba huo ni mitaa ya nyuma ya Laleli, mahali pa kutafuta nguo za bei nafuu.","Ukienda kwenye duka la nguo sahihi, utapata kwamba nguo ni bei nafuu kule Laleli.",neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Mbali na lexicon, sarufi - hasa sintaksi - imebadilika kiasi fulani, pia, ingawa tena sio kuwa haijulikani kwa msomaji wastani wa kisasa.",Sarufi imebadilika lakini sio sana.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Hitimisho kuu ya kuteka kwenye majaribio yetu ni kwamba mawakala wa kujitegemea kuunganisha na 'autocatalytic' moja au zaidi  na mizunguko ya kazi ni kamilifu, kama si jipya, aina ya kutofautiana, mchanganyisho uliofunguka wa kemikali.",Tunaweza kutekeleza hitimisho kutoka kwenye maigo tuliyofanya kwenye kompyuta.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kwa kusikia uhalisi wa Ureno wa zamani, ingilia kwenye ukumbi mzuri unaopendeza wa Leal Senado (jengo la Loyal Senate), mfano mzuri wa usanifu wa kikoloni.",Jengo la Seneti la Uaminifu ni nzuri.,entailment,entailment,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Idara moja ilinuia kutekeleza utaratibu wa wafanyakazi wake kuchukua safari inayowaruhusu wasafiri, pasi dhibiti fulani, kupeana tu idadi yote ya matumizi ya pesa iliyo dola za Marekani 75 au chini.",Ujumbe huo haukukaribishwa ni,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Niko na vijana wawili, mmoja wa umri wa miaka kumi na miwili na uyo mwingine miaka kumi na sita.",Mimi pia nina binti aliye mdogo kuliko wavulana.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Marafiki hufanya kazi katika viwango viwili - Marafiki wa Jiji na Marafiki wa Tawi - na unaweza kuwa na kazi kwa moja au ngazi zote mbili.,"Hatuwezi tenganisha viwango vya marafiki, kila mtu ni sawa.",contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Nataka kusema ya kwamba hakuwa na hatari yoyote ya kuingia na bomu kwa sababu haiwezi kulipuka, licha ya vile ingeanguka kwenye ardhi.",Kulikuwa na hatari kubwa ya kulipuka bomu.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Mtazamo wetu wa awali unaashiria kuwa utendaji wa ripoti za GPRA zinawezakuwa za maana kama,Faida ya ripoti za GPRA zinaweza kuongezwa,entailment,entailment,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Ninakuhakikishia, bwana, kwamba nilikuwa na taarifa kamili ya wote.",Ilikuwa kifo cha mpekuzi nilichopata ujumbe kuhusu.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Alizaliwa kipindi cha mwaka wa 1988-1989 hivi nikidhani.,Hakuzaliwa hadi mwaka wa 1984.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"H. H. Richardson na mwanafunzi wake Charles Follen McKim walikuwa waandishi, ikiwemo wasaidizai wa McKim,John M. Carrare and Thomas Hastings.","H. H. Richardson, Charles Follen McKim, John M. Carrare na Thomas Hastings wote walikuwa wajumbe.",entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"wanaume, mimi ni wa bure, mtu mmoja aliingia na kumchoma mkewe wa zamani kisu na kumuua kwa sababu alikuwa amelala na mwanaume mwingine, namaanisha mke wa zamani, unajua tunazungumza na",Mume mmoja alimwua mke wake wa zamani kwa kulala na mtu mwingine baada ya kufunguliwa kutokana na kifungo cha awali.,entailment,entailment,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Na nilikuwa nimeweka, milango mitano nje ya U2's.",Nilifanya kazi na vikosi vya U2  kila siku kwa miaka arobaini.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Napoleon alishambulia na kuharibu hekalu takatifu la Catalonia, nyumba ya monasteri huko Montserrat.",Napoleon alikua mwajibikaji kwa uaribifu wa monastery kwa Montserrat.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Ninaona vizuri na napenda hali ya anga,Mwenyewe naipenda burudani hiyo.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Mimi daima nitashukuru.,Nina furaha sana na shukrani kwa yale umetenda leo.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Ni, bila shaka, badala ya kudhani kwamba kuna kutokuwa na uhakika wa kiasi katika sheria, lakini haionekani kuwa haiwezekani.",Haiwezekani kudhani kuwa kuna kutokuwa na uhakika wa kiasi katika sheria.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Mengi yanasababaishwa na kwamba mama mzazi ni mlevi wa dawa za kulevya.,Mama zao ni waraibu wa midadharati.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Ili kuzuia sura ya ushoga kama jambo mbaya, Clinton na Birch wamewalimbikizia mashoga sifa za kiraia .",Clinton na Birch ni mashoga.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kisha nikiipata na ninaona ni vyema, nitafanya nini na hilo?",Sijui nilivyopaswa kutumia kifaa hicho.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Samuel Sheinbein atatumikia hukumu ya mauaji nchini Israeli.,Samuel Sheinbein atahudumu hukumu ya mauaji huko Canada.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"(Imesemekana, sio kwa yote kimchezo, kwamba ikiwa Kijapani walihitaji kulipa ada ya leseni kwa kila neno la Kiingereza ambalo walitumia, ziada yao ya biashara ingeangamia.)",Nomino hua zinatumika sana kubadisha kwenda kwa lugha zingine.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kwa bahati mbaya, mtazamo wetu katika umuhimu wa ukarimu haikubaliki na Wamarekani wote.",Si Wamarekani wote wanadhani ni muhimu kusaidia makanisa.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Ilitengenezwa 688-691 baada ya kufa kwaKristo, imepambwa kwa maelfu ya  uzuri ,  hasa buluu na kimanjano, taili za kauri ya Uajemi, na maandiko ya Korani  katika Linteli.",Nyuta ziko na vigae 100000 kwao.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Tukianzia mwaka wetu mpya wa kifedha na upungufu, itakuwa shida kubwa.",Kuanzia mwaka mpya wa fedha haina athari kwa biashara.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Utaratibu wa ulimwengu wa ufuatiliaji wa asili ya furaha, uliofanyika katika Azimio, hutoa njia ya kiumbe ya ufafanuzi wa taratibu za sheria.",Tamko linasema kuwa unafaa kutafuta utajiri.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Wakati inapotokea, fedha zinazoongoza hujutoa sadaka ya riba kutoka kwa dhamana ya Hazina kwenye mizani yake imewekeza na badala yake inapata riba kutoka kwa mfuko wa kukopa kwa kiasi cha mkopo.",Hazina ya kukopesha haipati riba yote katika baadhi ya matukio.,entailment,entailment,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Na ilikuwa, yeye kamwe hakulazimika kufanya kitu chochote kwa ajili yake mwenyewe.",Anapata msaada mwingi.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"hapo, bonyeza Msanii. Unapaswa kujipata ...",Umeorodheshwa chini ya Waigizaji wa kike.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kwenye ranchi unaweza kusikia mtu asema, Leo hii tunapaswa kukata fahali wale walioandikwa, maana yake labda `tutenganishe wale watakaosafirishwa.",Watu hupambana na tafsiri kwenye ranchi.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Swali la leo linanikumbusha ule muda mmoja pekee nlienda katika Radio City Music Hall Christmas Pageant, ambapo,  miongoni mwa mambo mengine, wanatoa kitu kinachoitwa Kuzaliwa Kunakoishi.",Nilikuwa na miaka kumi na miwili nilipoenda kuona hai kuzaliwa.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Kuteleza kwa chumbani kunapatikana kwa Ditan Ice Arena kwenye Ditan Park na pia  duka la ununuzi la chini kwa chini linalounganisha wanabiashara na China World Hotels (1 Jianguomenwai Dajie).,Uneza eka kwa mlango njia mingi.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Huduma ya posta iko hatarini zaidi kuliko posta za usimamizi kwa kupanga sakata.,Huduma ya posta haina haja ya kushugulika na utoaji wa,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Lakini sasa Maxwell aingia na kutengeneza kiumbe cha ajabu, kilichoitwa kwa jina la utani, pepo la Maxwell.",Maxwell alijichukia kwa kuumba kiumbe hicho.,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Ikiwa bidhaa hiyo ilijumuisha maudhui mapya zaidi au uvumbuzi, mifano kamilifu ilikuwa ikitumika mara kwa mara kuonyesha kwamba muundo ulikidhi mahitaji.",matumizi ya mifano ni chache mno wanapoonyesha mahitaji ya shauri,contradiction,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Mjomba wangu, yeye ni mtu mzuri.",Napenda mjomba wangu sana.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Utaona video ya stori ya Anna na Amsterdam chini ya makazi pamoja na picha na shaba za wakati huo.,Utaona picha.,entailment,entailment,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Ilikuwa kutoka uwanja wa ndege uliopitia Cuba na ambapo Rudolph Anderson alipigiwa risasi.,Kitu kiliangushwa Cuba.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
Kikundi hiki kinapatana kila mwezi ili kujadili hali ya yaliyojadiliwa au mipango iliyotimizwa na pia kupendekeza na kujadili changamoto za sasa na mipango inayoweza kuzitatua.,Kikundi kilikutana mara mbili pekee kwa mwaka.,contradiction,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Kisha el abuelo angeweza kusema, Pues que recen y se acuesten (Naam, waombe na waende kulala).",Tulipaswa kuomba kabla tulale.,entailment,neutral,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Mmm wao ni nzuri sana wao ni aina ya  nchi ya nyasi ya bluu, wanapendeza sana kwa hakika.",Wamekuwa bendi kwa miaka miwili.,neutral,neutral,True,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
"Zaidi utafiti wa Ligi ya Kupambana na Uchongezi unaelezea kushuka kwa msingi wa Marekani kupambana na Wasemiti--kutoka asilimia 29 mwaka 1964, hadi asilimia 20 mwaka 1992, hadi asilimia 12 sasa.",utafiti wa ligi dhidi ya kufutwa una wahusika kutoka mataifa tano ya Marekani,neutral,entailment,False,sw,54.879448890686035,100,0.5487944889068603,0.3,20,False
