task,model,language,shot_type,pipeline,baseline_f1,cotr_f1,diff_f1,baseline_accuracy,cotr_accuracy,diff_accuracy
ner,Qwen2.5-7B-Instruct,ha,few_shot,single_prompt,0.48299603174603173,0.3794579725829726,-0.10353805916305914,,,
ner,Qwen2.5-7B-Instruct,sw,zero_shot,single_prompt,0.3792544261294261,0.5683829365079365,0.18912851037851036,,,
ner,aya-23-8B,ha,few_shot,multi_prompt,0.31681071883875084,0.0875,-0.22931071883875084,,,
ner,Qwen2.5-7B-Instruct,sw,few_shot,single_prompt,0.40929403929403935,0.473203781512605,0.06390974221856566,,,
nli,aya-23-8B,sw,few_shot,single_prompt,0.10842391304347827,0.44232367518109045,0.3338997621376122,0.2375,0.4375,0.2
nli,Qwen2.5-7B-Instruct,sw,few_shot,single_prompt,0.23798076923076922,0.5915236928104576,0.35354292357968836,0.375,0.625,0.25
nli,aya-23-8B,en,few_shot,single_prompt,0.3225746268656716,0.6572056959914627,0.3346310691257911,0.3875,0.675,0.28750000000000003
nli,Qwen2.5-7B-Instruct,en,few_shot,single_prompt,0.7998145820238843,0.9096688237533309,0.10985424172944658,0.8,0.9125,0.11249999999999993
nli,aya-23-8B,fr,few_shot,single_prompt,0.2890847457627119,0.6597222222222222,0.3706374764595103,0.35,0.6625,0.3125
nli,Qwen2.5-7B-Instruct,fr,few_shot,single_prompt,0.7317577030812326,0.785684949655538,0.053927246574305476,0.7375,0.7875,0.04999999999999993
nli,aya-23-8B,ur,few_shot,single_prompt,0.17191535150645626,0.4871836007130124,0.31526824920655616,0.2125,0.4875,0.275
nli,Qwen2.5-7B-Instruct,ur,few_shot,single_prompt,0.3544635760681886,0.5693247126436782,0.2148611365754896,0.4625,0.575,0.11249999999999993
nli,aya-23-8B,sw,zero_shot,single_prompt,0.10915841584158414,0.43805038759689924,0.3288919717553151,0.2625,0.475,0.21249999999999997
nli,Qwen2.5-7B-Instruct,sw,zero_shot,single_prompt,0.24092920353982303,0.5182883986928104,0.27735919515298735,0.4125,0.5375,0.125
nli,aya-23-8B,en,zero_shot,single_prompt,0.37086134453781516,0.49783116449783116,0.126969819960016,0.4625,0.575,0.11249999999999993
nli,Qwen2.5-7B-Instruct,en,zero_shot,single_prompt,0.7186582918050941,0.9235255347195646,0.20486724291447045,0.725,0.925,0.20000000000000007
nli,aya-23-8B,fr,zero_shot,single_prompt,0.0975,0.3403063725490196,0.24280637254901957,0.1625,0.4375,0.275
nli,Qwen2.5-7B-Instruct,fr,zero_shot,single_prompt,0.7547262506408848,0.837123745819398,0.08239749517851314,0.75,0.8375,0.08750000000000002
nli,aya-23-8B,ur,zero_shot,single_prompt,0.26969696969696966,0.28736660198884306,0.017669632291873405,0.2875,0.375,0.08750000000000002
nli,Qwen2.5-7B-Instruct,ur,zero_shot,single_prompt,0.3408756578758161,0.5708180147058824,0.22994235683006636,0.4625,0.575,0.11249999999999993
nli,aya-23-8B,sw,few_shot,multi_prompt,0.10842391304347827,0.2792902066486972,0.17086629360521893,0.2375,0.35,0.11249999999999999
nli,Qwen2.5-7B-Instruct,sw,few_shot,multi_prompt,0.23798076923076922,0.4118704212454213,0.17388965201465206,0.375,0.5,0.125
nli,aya-23-8B,en,few_shot,multi_prompt,0.3225746268656716,0.5912066593285635,0.2686320324628919,0.3875,0.6125,0.22500000000000003
nli,Qwen2.5-7B-Instruct,en,few_shot,multi_prompt,0.7998145820238843,0.91155286860753,0.11173828658364571,0.8,0.9125,0.11249999999999993
nli,aya-23-8B,fr,few_shot,multi_prompt,0.2890847457627119,0.5270748081841432,0.23799006242143128,0.35,0.5625,0.21250000000000002
nli,Qwen2.5-7B-Instruct,fr,few_shot,multi_prompt,0.7317577030812326,0.7751939328277356,0.043436229746503074,0.7375,0.775,0.03749999999999998
nli,aya-23-8B,ur,few_shot,multi_prompt,0.17191535150645626,0.34286059684995857,0.1709452453435023,0.2125,0.425,0.2125
nli,Qwen2.5-7B-Instruct,ur,few_shot,multi_prompt,0.3544635760681886,0.6041666666666666,0.249703090598478,0.4625,0.625,0.16249999999999998
nli,aya-23-8B,sw,zero_shot,multi_prompt,0.10915841584158414,0.2865242178376053,0.17736580199602114,0.2625,0.35,0.08749999999999997
nli,Qwen2.5-7B-Instruct,sw,zero_shot,multi_prompt,0.24092920353982303,0.4716706939961811,0.23074149045635808,0.4125,0.5,0.08750000000000002
nli,aya-23-8B,en,zero_shot,multi_prompt,0.37086134453781516,0.6628811101905551,0.2920197656527399,0.4625,0.675,0.21250000000000002
nli,Qwen2.5-7B-Instruct,en,zero_shot,multi_prompt,0.7186582918050941,0.8504662840746053,0.13180799226951123,0.725,0.85,0.125
nli,aya-23-8B,fr,zero_shot,multi_prompt,0.0975,0.47850412735849057,0.38100412735849054,0.1625,0.5125,0.35
nli,Qwen2.5-7B-Instruct,fr,zero_shot,multi_prompt,0.7547262506408848,0.7315696930946292,-0.023156557546255674,0.75,0.725,-0.025000000000000022
nli,aya-23-8B,ur,zero_shot,multi_prompt,0.26969696969696966,0.2995027752081406,0.029805805511170957,0.2875,0.4,0.11250000000000004
nli,Qwen2.5-7B-Instruct,ur,zero_shot,multi_prompt,0.3408756578758161,0.5762403474903475,0.23536468961453139,0.4625,0.5875,0.125
sentiment,Qwen2.5-7B-Instruct,ha,few_shot,single_prompt,0.12821313456889605,0.36421588827838824,0.2360027537094922,0.175,0.3875,0.21250000000000002
sentiment,aya-23-8B,ha,few_shot,single_prompt,0.1531862745098039,0.21254364759602468,0.05935737308622077,0.3125,0.2375,-0.07500000000000001
sentiment,Qwen2.5-7B-Instruct,sw,few_shot,single_prompt,0.08928571428571427,0.38438825033255736,0.2951025360468431,0.05,0.375,0.325
sentiment,aya-23-8B,sw,few_shot,single_prompt,0.1540750651449682,0.3730416170175206,0.2189665518725524,0.15,0.3125,0.1625
sentiment,Qwen2.5-7B-Instruct,pt,few_shot,single_prompt,0.25921428571428573,0.306,0.046785714285714264,0.175,0.2125,0.037500000000000006
sentiment,aya-23-8B,pt,few_shot,single_prompt,0.5221698113207547,0.3786585365853659,-0.14351127473538877,0.5125,0.2875,-0.22499999999999998
sentiment,Qwen2.5-7B-Instruct,ha,zero_shot,single_prompt,0.17360417253025612,0.31829789348171705,0.14469372095146094,0.2625,0.3375,0.07500000000000001
sentiment,aya-23-8B,ha,zero_shot,single_prompt,0.13440860215053763,0.2651328273244782,0.13072422517394056,0.25,0.3,0.04999999999999999
sentiment,Qwen2.5-7B-Instruct,sw,zero_shot,single_prompt,0.10423728813559321,0.4555215533794163,0.35128426524382306,0.125,0.425,0.3
sentiment,aya-23-8B,sw,zero_shot,single_prompt,0.007352941176470588,0.37191770647652994,0.3645647653000594,0.0625,0.3625,0.3
sentiment,Qwen2.5-7B-Instruct,pt,zero_shot,single_prompt,0.2997693484137146,0.3833333333333333,0.0835639849196187,0.2125,0.2875,0.07499999999999998
sentiment,aya-23-8B,pt,zero_shot,single_prompt,0.5593253968253967,0.523469387755102,-0.035856009070294736,0.6375,0.475,-0.16249999999999998
sentiment,Qwen2.5-7B-Instruct,ha,few_shot,multi_prompt,0.12821313456889605,0.22916666666666669,0.10095353209777064,0.175,0.2625,0.08750000000000002
sentiment,aya-23-8B,ha,few_shot,multi_prompt,0.1531862745098039,0.34825581395348837,0.19506953944368446,0.3125,0.425,0.11249999999999999
sentiment,Qwen2.5-7B-Instruct,sw,few_shot,multi_prompt,0.08928571428571427,0.38657688780841487,0.2972911735227006,0.05,0.375,0.325
sentiment,aya-23-8B,sw,few_shot,multi_prompt,0.1540750651449682,0.46833333333333327,0.3142582681883651,0.15,0.4875,0.3375
sentiment,Qwen2.5-7B-Instruct,pt,few_shot,multi_prompt,0.25921428571428573,0.4248865698729583,0.16567228415867258,0.175,0.35,0.175
sentiment,aya-23-8B,pt,few_shot,multi_prompt,0.5221698113207547,0.4969288595526219,-0.02524095176813279,0.5125,0.4625,-0.04999999999999993
sentiment,Qwen2.5-7B-Instruct,ha,zero_shot,multi_prompt,0.17360417253025612,0.2638805031446541,0.09027633061439799,0.2625,0.3,0.03749999999999998
sentiment,aya-23-8B,ha,zero_shot,multi_prompt,0.13440860215053763,0.3155435486482111,0.18113494649767348,0.25,0.35,0.09999999999999998
sentiment,Qwen2.5-7B-Instruct,sw,zero_shot,multi_prompt,0.10423728813559321,0.37369664385793416,0.2694593557223409,0.125,0.3625,0.2375
sentiment,aya-23-8B,sw,zero_shot,multi_prompt,0.007352941176470588,0.37801772190827665,0.3706647807318061,0.0625,0.35,0.2875
sentiment,Qwen2.5-7B-Instruct,pt,zero_shot,multi_prompt,0.2997693484137146,0.44025198938992044,0.14048264097620583,0.2125,0.3625,0.15
sentiment,aya-23-8B,pt,zero_shot,multi_prompt,0.5593253968253967,0.5161764705882352,-0.04314892623716149,0.6375,0.4875,-0.14999999999999997
classification,Qwen2.5-7B-Instruct,ha,few_shot,single_prompt,0.5147579966329967,0.0675595238095238,-0.4471984728234729,0.55,0.0375,-0.5125000000000001
classification,aya-23-8B,ha,few_shot,single_prompt,0.053104395604395616,0.04629120879120879,-0.006813186813186822,0.05,0.025,-0.025
classification,Qwen2.5-7B-Instruct,sw,few_shot,single_prompt,0.6822971881060116,0.08276348039215686,-0.5995337077138547,0.6875,0.05,-0.6375
classification,aya-23-8B,sw,few_shot,single_prompt,0.023333333333333334,0.10583333333333333,0.0825,0.0125,0.0625,0.05
classification,Qwen2.5-7B-Instruct,en,few_shot,single_prompt,0.7736384783798578,0.49821780386795866,-0.2754206745118991,0.7625,0.4125,-0.35
classification,aya-23-8B,en,few_shot,single_prompt,0.6911149185849336,0.5001611099212299,-0.1909538086637037,0.675,0.45,-0.22500000000000003
classification,Qwen2.5-7B-Instruct,ha,zero_shot,single_prompt,0.6613247354497354,0.07738095238095237,-0.583943783068783,0.6875,0.05,-0.6375
classification,aya-23-8B,ha,zero_shot,single_prompt,0.0,0.26640260270774974,0.26640260270774974,0.0,0.1875,0.1875
classification,Qwen2.5-7B-Instruct,sw,zero_shot,single_prompt,0.7669072068482565,0.23336538461538464,-0.5335418222328718,0.7625,0.1875,-0.575
classification,aya-23-8B,sw,zero_shot,single_prompt,0.023333333333333334,0.17014693027560676,0.14681359694227342,0.0125,0.1,0.08750000000000001
classification,Qwen2.5-7B-Instruct,en,zero_shot,single_prompt,0.7005887070940567,0.586849128540305,-0.11373957855375172,0.7,0.5,-0.19999999999999996
classification,aya-23-8B,en,zero_shot,single_prompt,0.7052563364055299,0.515636012469504,-0.1896203239360259,0.7,0.4375,-0.26249999999999996
classification,Qwen2.5-7B-Instruct,ha,few_shot,multi_prompt,0.5147579966329967,0.682315233785822,0.16755723715282533,0.55,0.675,0.125
classification,aya-23-8B,ha,few_shot,multi_prompt,0.053104395604395616,0.36000571281144034,0.3069013172070447,0.05,0.35,0.3
classification,Qwen2.5-7B-Instruct,sw,few_shot,multi_prompt,0.6822971881060116,0.7642095494111623,0.08191236130515067,0.6875,0.75,0.0625
classification,aya-23-8B,sw,few_shot,multi_prompt,0.023333333333333334,0.24328944864659152,0.21995611531325818,0.0125,0.25,0.2375
classification,Qwen2.5-7B-Instruct,en,few_shot,multi_prompt,0.7736384783798578,0.8202781564590007,0.04663967807914293,0.7625,0.8125,0.050000000000000044
classification,aya-23-8B,en,few_shot,multi_prompt,0.6911149185849336,0.3485756056808688,-0.34253931290406475,0.675,0.275,-0.4
classification,Qwen2.5-7B-Instruct,ha,zero_shot,multi_prompt,0.6613247354497354,0.6361100900490455,-0.02521464540068985,0.6875,0.65,-0.03749999999999998
classification,aya-23-8B,ha,zero_shot,multi_prompt,0.0,0.5504228701406121,0.5504228701406121,0.0,0.55,0.55
classification,Qwen2.5-7B-Instruct,sw,zero_shot,multi_prompt,0.7669072068482565,0.7147461076241911,-0.05216109922406542,0.7625,0.7125,-0.04999999999999993
classification,aya-23-8B,sw,zero_shot,multi_prompt,0.023333333333333334,0.490078431372549,0.46674509803921566,0.0125,0.45,0.4375
classification,Qwen2.5-7B-Instruct,en,zero_shot,multi_prompt,0.7005887070940567,0.8196194066067026,0.11903069951264589,0.7,0.8125,0.11250000000000004
classification,aya-23-8B,en,zero_shot,multi_prompt,0.7052563364055299,0.6861003554404307,-0.019155980965099184,0.7,0.65,-0.04999999999999993
